route_csv,segment_count,direct_miles,total_miles
"SFO,LAX,ATL,LAS",3,413,4030
"SFO,ORD,LAX,LAS",3,413,3826
"SFO,ORD,DEN,LAS",3,413,3362
"SFO,ORD,ATL,LAS",3,413,4198
"SFO,JFK,LAX,LAS",3,413,5297
"SFO,DEN,LAX,LAS",3,413,2065
"SFO,DEN,ORD,LAS",3,413,3369
"SFO,DEN,ATL,LAS",3,413,3912
"SFO,SEA,LAX,LAS",3,413,1868
"SAN,SFO",1,446,446
"SLC,DEN,PHX",2,507,992
"SLC,DEN,LAX,PHX",3,507,1622
"SLC,DEN,ORD,PHX",3,507,2719
"SLC,DEN,MSP,PHX",3,507,2346
"ATL,DCA",1,547,547
"ATL,FLL",1,580,580
"ATL,LGA,FLL",2,580,1837
"ATL,MCO,EWR,FLL",3,580,2405
"ATL,ORD,LGA,FLL",3,580,2414
"ATL,MIA,LGA,FLL",3,580,2766
"SLC,DEN,LAX",2,589,1252
"SLC,DEN,PHX,LAX",3,589,1362
"SLC,DEN,LAS,LAX",3,589,1255
"SLC,DEN,ORD,LAX",3,589,3023
"SLC,DEN,SFO,LAX",3,589,1695
"SLC,DEN,ATL,LAX",3,589,3536
"SLC,DEN,DFW,LAX",3,589,2267
"MIA,ATL",1,594,594
"MIA,LGA,ATL",2,594,1858
"MIA,LGA,ORD,ATL",3,594,2435
"MIA,LGA,FLL,ATL",3,594,2752
"SLC,DEN,SFO",2,598,1358
"SLC,DEN,LAX,SFO",3,598,1590
"SLC,DEN,LAS,SFO",3,598,1433
"SLC,DEN,ORD,SFO",3,598,3125
"DEN,PHX",1,601,601
"DEN,LAX,PHX",2,601,1231
"DEN,ORD,PHX",2,601,2328
"DEN,MSP,PHX",2,601,1955
"DEN,LAX,ORD,PHX",3,601,4046
"DEN,LAX,SEA,PHX",3,601,2922
"DEN,LAS,LAX,PHX",3,601,1234
"DEN,LAS,SEA,PHX",3,601,2601
"DEN,LAS,ORD,PHX",3,601,3582
"DEN,ORD,LAX,PHX",3,601,3002
"DEN,ORD,MSP,PHX",3,601,2498
"DEN,SFO,LAX,PHX",3,601,1674
"DEN,SFO,ORD,PHX",3,601,4253
"DEN,SFO,SEA,PHX",3,601,2752
"DEN,ATL,LAX,PHX",3,601,3515
"DEN,ATL,ORD,PHX",3,601,3244
"DEN,DFW,LAX,PHX",3,601,2246
"DEN,DFW,ORD,PHX",3,601,2882
"DEN,MSP,ORD,PHX",3,601,2453
"ATL,ORD",1,605,605
"ATL,MCO,ORD",2,605,1408
"ATL,LGA,ORD",2,605,1494
"ATL,LAX,ORD",2,605,3691
"ATL,DFW,ORD",2,605,1533
"ATL,DEN,ORD",2,605,2087
"ATL,LAS,ORD",2,605,3260
"ATL,FLL,LGA,ORD",3,605,2389
"ATL,LAX,SFO,ORD",3,605,4130
"ATL,LAX,LAS,ORD",3,605,3696
"ATL,LAX,DEN,ORD",3,605,3696
"ATL,LAX,DFW,ORD",3,605,3983
"ATL,LAX,PHX,ORD",3,605,3756
"ATL,DFW,LAX,ORD",3,605,3710
"ATL,DFW,DEN,ORD",3,605,2260
"ATL,DEN,PHX,ORD",3,605,3240
"ATL,DEN,LAX,ORD",3,605,3805
"ATL,DEN,LAS,ORD",3,605,3341
"ATL,DEN,SFO,ORD",3,605,4012
"ATL,DEN,DFW,ORD",3,605,2642
"ATL,DEN,MSP,ORD",3,605,2213
"ATL,PHL,MCO,ORD",3,605,2532
"ATL,LAS,LAX,ORD",3,605,3727
"ATL,LAS,DEN,ORD",3,605,3263
"ATL,LAS,SFO,ORD",3,605,4006
"ATL,MIA,LGA,ORD",3,605,2424
"DCA,ATL,ORD",2,611,1152
"DCA,ATL,MCO,ORD",3,611,1955
"DCA,ATL,LGA,ORD",3,611,2041
"DCA,ATL,LAX,ORD",3,611,4238
"DCA,ATL,DFW,ORD",3,611,2080
"DCA,ATL,DEN,ORD",3,611,2634
"DCA,ATL,LAS,ORD",3,611,3807
"SAN,SFO,DEN,SLC",3,625,1804
"DEN,LAS",1,628,628
"DEN,LAX,LAS",2,628,1098
"DEN,ORD,LAS",2,628,2402
"DEN,SFO,LAS",2,628,1381
"DEN,ATL,LAS",2,628,2945
"DEN,PHX,ORD,LAS",3,628,3555
"DEN,PHX,SEA,LAS",3,628,2574
"DEN,PHX,LAX,LAS",3,628,1208
"DEN,LAX,SFO,LAS",3,628,1613
"DEN,LAX,ORD,LAS",3,628,4120
"DEN,LAX,SEA,LAS",3,628,2682
"DEN,LAX,ATL,LAS",3,628,4554
"DEN,ORD,LAX,LAS",3,628,2869
"DEN,ORD,SFO,LAS",3,628,3148
"DEN,ORD,ATL,LAS",3,628,3240
"DEN,SFO,LAX,LAS",3,628,1540
"DEN,SFO,ORD,LAS",3,628,4327
"DEN,SFO,SEA,LAS",3,628,2512
"DEN,ATL,LAX,LAS",3,628,3381
"DEN,ATL,ORD,LAS",3,628,3319
"DEN,DFW,LAX,LAS",3,628,2112
"DEN,DFW,ORD,LAS",3,628,2957
"DEN,DFW,ATL,LAS",3,628,3119
"DEN,MSP,ORD,LAS",3,628,2528
"DEN,DFW",1,641,641
"DEN,LAX,DFW",2,641,2096
"DEN,ORD,DFW",2,641,1690
"DEN,ATL,DFW",2,641,1930
"DEN,PHX,ORD,DFW",3,641,2843
"DEN,PHX,LAX,DFW",3,641,2206
"DEN,LAX,ORD,DFW",3,641,3408
"DEN,LAX,ATL,DFW",3,641,3539
"DEN,LAS,LAX,DFW",3,641,2099
"DEN,LAS,ATL,DFW",3,641,3106
"DEN,LAS,ORD,DFW",3,641,2944
"DEN,ORD,LAX,DFW",3,641,3867
"DEN,ORD,ATL,DFW",3,641,2225
"DEN,SFO,LAX,DFW",3,641,2539
"DEN,SFO,ORD,DFW",3,641,3615
"DEN,ATL,LAX,DFW",3,641,4380
"DEN,ATL,ORD,DFW",3,641,2606
"DEN,MSP,ORD,DFW",3,641,1815
"SFO,LAX,PHX",2,650,707
"SFO,ORD,PHX",2,650,3286
"SFO,DEN,PHX",2,650,1568
"SFO,SEA,PHX",2,650,1785
"SFO,LAX,ORD,PHX",3,650,3521
"SFO,LAX,DEN,PHX",3,650,1801
"SFO,LAX,SEA,PHX",3,650,2398
"SFO,ORD,LAX,PHX",3,650,3960
"SFO,ORD,DEN,PHX",3,650,3336
"SFO,ORD,MSP,PHX",3,650,3456
"SFO,LAS,LAX,PHX",3,650,1020
"SFO,LAS,DEN,PHX",3,650,1644
"SFO,LAS,SEA,PHX",3,650,2387
"SFO,LAS,ORD,PHX",3,650,3368
"SFO,JFK,LAX,PHX",3,650,5431
"SFO,DEN,LAX,PHX",3,650,2199
"SFO,DEN,ORD,PHX",3,650,3295
"SFO,DEN,MSP,PHX",3,650,2923
"SFO,SEA,LAX,PHX",3,650,2002
"ATL,PHL",1,666,666
"ATL,MCO,PHL",2,666,1264
"ATL,ORD,MCO,PHL",3,666,2472
"PHL,MCO,ORD",2,677,1866
"PHL,ATL,ORD",2,677,1272
"PHL,MCO,ATL,ORD",3,677,1870
"PHL,ATL,MCO,ORD",3,677,2074
"PHL,ATL,LGA,ORD",3,677,2160
"PHL,ATL,LAX,ORD",3,677,4357
"PHL,ATL,DFW,ORD",3,677,2199
"PHL,ATL,DEN,ORD",3,677,2753
"PHL,ATL,LAS,ORD",3,677,3927
"SEA,SFO",1,678,678
"SEA,LAX,SFO",2,678,1291
"SEA,LAS,SFO",2,678,1280
"SEA,LAX,JFK,SFO",3,678,6014
"SEA,LAX,ORD,SFO",3,678,4544
"SEA,LAX,LAS,SFO",3,678,1604
"SEA,LAX,DEN,SFO",3,678,2782
"SEA,PHX,DEN,SFO",3,678,2675
"SEA,PHX,ORD,SFO",3,678,4392
"SEA,PHX,LAX,SFO",3,678,1814
"SEA,LAS,LAX,SFO",3,678,1440
"SEA,LAS,DEN,SFO",3,678,2461
"SEA,LAS,ORD,SFO",3,678,4226
"MSP,DEN",1,679,679
"MSP,PHX,DEN",2,679,1877
"MSP,ORD,DEN",2,679,1222
"MSP,PHX,ORD,DEN",3,679,3604
"MSP,PHX,LAX,DEN",3,679,2507
"MSP,ORD,LAX,DEN",3,679,2940
"MSP,ORD,SFO,DEN",3,679,3147
"MSP,ORD,PHX,DEN",3,679,2375
"MSP,ORD,DFW,DEN",3,679,1777
"MSP,ORD,ATL,DEN",3,679,2139
"MSP,ORD,LAS,DEN",3,679,2476
"SEA,LAX,DEN,SLC",3,688,2206
"SEA,SFO,DEN,SLC",3,688,2036
"SEA,PHX,DEN,SLC",3,688,2099
"SEA,LAS,DEN,SLC",3,688,1885
"EWR,MCO,ORD",2,719,1942
"EWR,SFO,ORD",2,719,4411
"EWR,MCO,ATL,ORD",3,719,1946
"EWR,FLL,ATL,ORD",3,719,2251
"EWR,FLL,LGA,ORD",3,719,2873
"EWR,SFO,LAX,ORD",3,719,4647
"EWR,SFO,LAS,ORD",3,719,4493
"EWR,SFO,DEN,ORD",3,719,4420
"ATL,DFW",1,731,731
"ATL,LAX,DFW",2,731,3181
"ATL,ORD,DFW",2,731,1407
"ATL,DEN,DFW",2,731,1840
"ATL,MCO,ORD,DFW",3,731,2210
"ATL,LGA,ORD,DFW",3,731,2296
"ATL,LAX,ORD,DFW",3,731,4492
"ATL,LAX,DEN,DFW",3,731,3449
"ATL,ORD,LAX,DFW",3,731,3585
"ATL,ORD,DEN,DFW",3,731,2135
"ATL,DEN,LAX,DFW",3,731,3296
"ATL,DEN,ORD,DFW",3,731,2889
"ATL,LAS,LAX,DFW",3,731,3217
"ATL,LAS,DEN,DFW",3,731,3016
"ATL,LAS,ORD,DFW",3,731,4062
"LGA,ORD",1,733,733
"LGA,ATL,ORD",2,733,1367
"LGA,ATL,MCO,ORD",3,733,2170
"LGA,ATL,LAX,ORD",3,733,4452
"LGA,ATL,DFW,ORD",3,733,2294
"LGA,ATL,DEN,ORD",3,733,2849
"LGA,ATL,LAS,ORD",3,733,4022
"LGA,MIA,ATL,ORD",3,733,2297
"LGA,FLL,ATL,ORD",3,733,2262
"JFK,LAX,ORD",2,739,4219
"JFK,SFO,ORD",2,739,4432
"JFK,LAX,SFO,ORD",3,739,4658
"JFK,LAX,LAS,ORD",3,739,4225
"JFK,LAX,DEN,ORD",3,739,4225
"JFK,LAX,ATL,ORD",3,739,5027
"JFK,LAX,DFW,ORD",3,739,4511
"JFK,LAX,PHX,ORD",3,739,4284
"JFK,SFO,LAX,ORD",3,739,4668
"JFK,SFO,LAS,ORD",3,739,4514
"JFK,SFO,DEN,ORD",3,739,4441
"ATL,MCO,EWR",2,745,1340
"ATL,FLL,EWR",2,745,1645
"ATL,LGA,FLL,EWR",3,745,2901
"ATL,LAX,SFO,EWR",3,745,4849
"ATL,ORD,SFO,EWR",3,745,5017
"ATL,ORD,MCO,EWR",3,745,2548
"ATL,DEN,SFO,EWR",3,745,4731
"ATL,PHL,MCO,EWR",3,745,2464
"ATL,LAS,SFO,EWR",3,745,4725
"DCA,ATL,MCO",2,759,950
"DCA,ATL,ORD,MCO",3,759,2157
"DCA,ATL,PHL,MCO",3,759,2074
"JFK,LAX,ATL",2,759,4421
"JFK,LAX,ORD,ATL",3,759,4825
"JFK,LAX,LAS,ATL",3,759,4457
"JFK,LAX,DEN,ATL",3,759,4535
"JFK,LAX,DFW,ATL",3,759,4441
"JFK,SFO,LAX,ATL",3,759,4869
"JFK,SFO,ORD,ATL",3,759,5037
"JFK,SFO,LAS,ATL",3,759,4746
"JFK,SFO,DEN,ATL",3,759,4752
"LGA,ATL",1,761,761
"LGA,ORD,ATL",2,761,1339
"LGA,MIA,ATL",2,761,1691
"LGA,FLL,ATL",2,761,1656
"LGA,ORD,LAX,ATL",3,761,4424
"LGA,ORD,DEN,ATL",3,761,2820
"LGA,ORD,MCO,ATL",3,761,2141
"LGA,ORD,DFW,ATL",3,761,2266
"LGA,ORD,LAS,ATL",3,761,3994
"DFW,ORD",1,801,801
"DFW,LAX,ORD",2,801,2979
"DFW,ATL,ORD",2,801,1337
"DFW,DEN,ORD",2,801,1529
"DFW,LAX,SFO,ORD",3,801,3418
"DFW,LAX,LAS,ORD",3,801,2985
"DFW,LAX,DEN,ORD",3,801,2985
"DFW,LAX,ATL,ORD",3,801,3787
"DFW,LAX,PHX,ORD",3,801,3044
"DFW,ATL,MCO,ORD",3,801,2139
"DFW,ATL,LGA,ORD",3,801,2226
"DFW,ATL,LAX,ORD",3,801,4422
"DFW,ATL,DEN,ORD",3,801,2818
"DFW,ATL,LAS,ORD",3,801,3992
"DFW,DEN,PHX,ORD",3,801,2682
"DFW,DEN,LAX,ORD",3,801,3247
"DFW,DEN,LAS,ORD",3,801,2783
"DFW,DEN,SFO,ORD",3,801,3454
"DFW,DEN,ATL,ORD",3,801,2446
"DFW,DEN,MSP,ORD",3,801,1655
"DCA,ATL,TPA",2,813,953
"MSP,ORD,DFW",2,851,1135
"MSP,DEN,DFW",2,851,1321
"MSP,PHX,DEN,DFW",3,851,2519
"MSP,PHX,ORD,DFW",3,851,3517
"MSP,PHX,LAX,DFW",3,851,2881
"MSP,ORD,LAX,DFW",3,851,3313
"MSP,ORD,DEN,DFW",3,851,1863
"MSP,ORD,ATL,DFW",3,851,1671
"MSP,DEN,LAX,DFW",3,851,2776
"MSP,DEN,ORD,DFW",3,851,2369
"MSP,DEN,ATL,DFW",3,851,2610
"DEN,SFO,SAN",2,852,1413
"DEN,LAX,SFO,SAN",3,852,1645
"DEN,LAS,SFO,SAN",3,852,1488
"DEN,ORD,SFO,SAN",3,852,3180
"MCO,PHL",1,861,861
"MCO,ATL,PHL",2,861,1069
"MCO,ORD,ATL,PHL",3,861,2277
"DEN,LAX",1,861,861
"DEN,PHX,LAX",2,861,971
"DEN,LAS,LAX",2,861,864
"DEN,ORD,LAX",2,861,2632
"DEN,SFO,LAX",2,861,1304
"DEN,ATL,LAX",2,861,3145
"DEN,DFW,LAX",2,861,1876
"DEN,PHX,ORD,LAX",3,861,3786
"DEN,PHX,SEA,LAX",3,861,2662
"DEN,LAS,SFO,LAX",3,861,1379
"DEN,LAS,SEA,LAX",3,861,2448
"DEN,LAS,ATL,LAX",3,861,4321
"DEN,LAS,ORD,LAX",3,861,3887
"DEN,ORD,SFO,LAX",3,861,3071
"DEN,ORD,PHX,LAX",3,861,2698
"DEN,ORD,DFW,LAX",3,861,2924
"DEN,ORD,ATL,LAX",3,861,3440
"DEN,ORD,LAS,LAX",3,861,2638
"DEN,SFO,ORD,LAX",3,861,4557
"DEN,SFO,LAS,LAX",3,861,1617
"DEN,SFO,JFK,LAX",3,861,6028
"DEN,SFO,SEA,LAX",3,861,2599
"DEN,ATL,DFW,LAX",3,861,3165
"DEN,ATL,ORD,LAX",3,861,3549
"DEN,ATL,LAS,LAX",3,861,3182
"DEN,DFW,ORD,LAX",3,861,3187
"DEN,DFW,ATL,LAX",3,861,3319
"DEN,MSP,PHX,LAX",3,861,2326
"DEN,MSP,ORD,LAX",3,861,2758
"SEA,LAS",1,866,866
"SEA,LAX,LAS",2,866,1190
"SEA,SFO,LAS",2,866,1092
"SEA,LAX,SFO,LAS",3,866,1705
"SEA,LAX,ORD,LAS",3,866,4212
"SEA,LAX,DEN,LAS",3,866,2443
"SEA,LAX,ATL,LAS",3,866,4646
"SEA,SFO,LAX,LAS",3,866,1252
"SEA,SFO,ORD,LAS",3,866,4038
"SEA,SFO,DEN,LAS",3,866,2273
"SEA,PHX,DEN,LAS",3,866,2336
"SEA,PHX,ORD,LAS",3,866,4060
"SEA,PHX,LAX,LAS",3,866,1713
"DFW,LAX,PHX",2,867,1605
"DFW,ORD,PHX",2,867,2241
"DFW,DEN,PHX",2,867,1243
"DFW,LAX,ORD,PHX",3,867,4419
"DFW,LAX,DEN,PHX",3,867,2698
"DFW,LAX,SEA,PHX",3,867,3295
"DFW,ORD,LAX,PHX",3,867,2916
"DFW,ORD,DEN,PHX",3,867,2291
"DFW,ORD,MSP,PHX",3,867,2411
"DFW,ATL,LAX,PHX",3,867,3047
"DFW,ATL,ORD,PHX",3,867,2777
"DFW,ATL,DEN,PHX",3,867,2532
"DFW,DEN,LAX,PHX",3,867,1873
"DFW,DEN,ORD,PHX",3,867,2969
"DFW,DEN,MSP,PHX",3,867,2597
"DEN,ORD",1,888,888
"DEN,PHX,ORD",2,888,2041
"DEN,LAX,ORD",2,888,2606
"DEN,LAS,ORD",2,888,2142
"DEN,SFO,ORD",2,888,2813
"DEN,ATL,ORD",2,888,1805
"DEN,DFW,ORD",2,888,1443
"DEN,MSP,ORD",2,888,1014
"DEN,PHX,MSP,ORD",3,888,2211
"DEN,PHX,LAX,ORD",3,888,2716
"DEN,LAX,SFO,ORD",3,888,3045
"DEN,LAX,LAS,ORD",3,888,2612
"DEN,LAX,ATL,ORD",3,888,3414
"DEN,LAX,DFW,ORD",3,888,2898
"DEN,LAX,PHX,ORD",3,888,2671
"DEN,LAS,LAX,ORD",3,888,2609
"DEN,LAS,SFO,ORD",3,888,2888
"DEN,LAS,ATL,ORD",3,888,2980
"DEN,SFO,LAX,ORD",3,888,3049
"DEN,SFO,LAS,ORD",3,888,2895
"DEN,ATL,MCO,ORD",3,888,2607
"DEN,ATL,LGA,ORD",3,888,2694
"DEN,ATL,LAX,ORD",3,888,4890
"DEN,ATL,DFW,ORD",3,888,2732
"DEN,ATL,LAS,ORD",3,888,4460
"DEN,DFW,LAX,ORD",3,888,3620
"DEN,DFW,ATL,ORD",3,888,1978
"DEN,MSP,PHX,ORD",3,888,3395
"FLL,ATL,DCA",2,899,1127
"FLL,LGA,ATL,DCA",3,899,2384
"ATL,ORD,MSP",2,906,939
"ATL,DEN,MSP",2,906,1879
"ATL,MCO,ORD,MSP",3,906,1742
"ATL,LGA,ORD,MSP",3,906,1828
"ATL,LAX,ORD,MSP",3,906,4025
"ATL,LAX,DEN,MSP",3,906,3488
"ATL,LAX,PHX,MSP",3,906,3592
"ATL,DFW,ORD,MSP",3,906,1867
"ATL,DFW,DEN,MSP",3,906,2052
"ATL,ORD,DEN,MSP",3,906,2173
"ATL,ORD,PHX,MSP",3,906,3321
"ATL,DEN,PHX,MSP",3,906,3077
"ATL,DEN,ORD,MSP",3,906,2421
"ATL,LAS,DEN,MSP",3,906,3054
"ATL,LAS,ORD,MSP",3,906,3595
"MIA,ATL,DCA",2,919,1141
"MIA,LGA,ATL,DCA",3,919,2405
"TPA,ATL,PHL",2,919,1072
"TPA,ATL,MCO,PHL",3,919,1670
"TPA,ATL,DFW",2,928,1137
"TPA,ATL,LAX,DFW",3,928,3587
"TPA,ATL,ORD,DFW",3,928,1813
"TPA,ATL,DEN,DFW",3,928,2246
"MSP,ORD,ATL,DCA",3,930,1487
"MSP,DEN,ATL,DCA",3,930,2426
"EWR,MCO",1,937,937
"EWR,FLL,ATL,MCO",3,937,2048
"EWR,SFO,ORD,MCO",3,937,5416
"JFK,LAX,ORD,MCO",3,944,5224
"JFK,LAX,ATL,MCO",3,944,4824
"JFK,SFO,ORD,MCO",3,944,5437
"JFK,SFO,EWR,MCO",3,944,6088
"LGA,ORD,MCO",2,949,1738
"LGA,ATL,MCO",2,949,1165
"LGA,ORD,ATL,MCO",3,949,1742
"LGA,ATL,ORD,MCO",3,949,2372
"LGA,ATL,PHL,MCO",3,949,2289
"LGA,MIA,ATL,MCO",3,949,2094
